Nume,Email,Judet,Telefon,Tip
"SANCEL",primariasincel@yahoo.com,ALBA,,Primarie
"SANTIMBRU",popasantimbru@yahoo.com,ALBA,,Primarie
"SASCIORI",primariasasciori@yahoo.com,ALBA,,Primarie
"SCARISOARA",primar@scarisoara.ro,ALBA,,Primarie
"SIBOT",primaria.sibot@yahoo.com,ALBA,,Primarie
"SOHODOL",primaria_sohodol@yahoo.com,ALBA,,Primarie
"SONA",consiliulsona@yahoo.com,ALBA,,Primarie
"SPRING",primariaspring@yahoo.com,ALBA,,Primarie
"STREMT",primaria_stremt@yahoo.com,ALBA,,Primarie
"SUGAG",primariasugag@yahoo.com,ALBA,,Primarie
"UNIREA",primariaunirea@gmail.com,ALBA,,Primarie
"VADU MOTILOR",vadumotilor@yahoo.com,ALBA,,Primarie
"VALEA LUNGA",primariavalealunga@yahoo.com,ALBA,,Primarie
"VIDRA",primaria_vidra_ab@yahoo.com,ALBA,,Primarie
"VINTU DE JOS",primaria.vint@yahoo.com,ALBA,,Primarie
"ARAD",pma@primariaarad.ro,ARAD,,Primarie Municipiu
"CHISINEU-CRIS",primariachcris@yahoo.com,ARAD,,Primarie Oras
"CURTICI",secretariat@primariacurtici.ro,ARAD,,Primarie Oras
"PANCOTA",primariapancota@artelecom.net,ARAD,,Primarie Oras
"PECICA",lex.pecica@upcmail.ro,ARAD,,Primarie Oras
"SEBIS",primariasebis@yahoo.com,ARAD,,Primarie Oras
"ARCHIS",primariaarchis@yahoo.com,ARAD,,Primarie
"BARSA",primariabirsa@yahoo.com,ARAD,,Primarie
"BARZAVA",primariabarzava@clicknet.net,ARAD,,Primarie
"BATA",papucb.contabil@gmail.com,ARAD,,Primarie
"BELIU",primariabeliu@gmail.com,ARAD,,Primarie
"BIRCHIS",primariabirchis@yahoo.com,ARAD,,Primarie
"BOCSIG",primariabocsig@yahoo.com,ARAD,,Primarie
"BRAZII",braziiprimaria@yahoo.com,ARAD,,Primarie
"BUTENI",primariabuteni@yahoo.com,ARAD,,Primarie
"CARAND",primariacarand@yahoo.com,ARAD,,Primarie
"CERMEI",cermei@xnet.ro,ARAD,,Primarie
"CHISINDIA",primariachisindia@yahoo.com,ARAD,,Primarie
"CONOP",conop_ar@primariaonline.ro,ARAD,,Primarie
"COVASINT",primariacovasint@gmail.com,ARAD,,Primarie
"CRAIVA",primariacraiva@artelecom.net,ARAD,,Primarie
"DEZNA",primariadezna@artelecom.net,ARAD,,Primarie
"DIECI",primariadieci@artelecom.net,ARAD,,Primarie
"DOROBANTI",primaria.dorobanti@gmail.com,ARAD,,Primarie
"FANTINELE",primaria.fatanele@yahoo.com,ARAD,,Primarie
"FELNAC",primariafelnac@yahoo.com,ARAD,,Primarie
"FRUMUSENI",contact@frumuseni.ro,ARAD,,Primarie
"GHIOROC",primariaghioroc@clicknet.ro,ARAD,,Primarie
"GURAHONT",primariagurahont@yahoo.com,ARAD,,Primarie
"HALMAGEL",primariahalmagel@artelecom.net,ARAD,,Primarie
"HALMAGIU",primariahalmagiu@yahoo.com,ARAD,,Primarie
"IGNESTI",primaria.ignesti@yahoo.com,ARAD,,Primarie
"MACEA",primaria.macea@gmail.com,ARAD,,Primarie
"MISCA",primaria_misca@yahoo.com,ARAD,,Primarie
"MONEASA",primariamoneasa@clicknet.ro,ARAD,,Primarie
"OLARI",primaria_olari@yahoo.com,ARAD,,Primarie
"PAULIS",primariapaulis@gmail.com,ARAD,,Primarie
"PEREGU MARE",primariaperegumare@yahoo.com,ARAD,,Primarie
"PETRIS",primariapetris@yahoo.com,ARAD,,Primarie
"PILU",primariapilu69@artelecom.net,ARAD,,Primarie
"PLESCUTA",primariaplescuta@yahoo.com,ARAD,,Primarie
"SAVARSIN",primariasavarsin@yahoo.com,ARAD,,Primarie
"SEITIN",primariaseitin@artelecom.net,ARAD,,Primarie
"SELEUS",primseleus@clicknet.ro,ARAD,,Primarie
"SEMLAC",primaria@semlac.ro,ARAD,,Primarie
"SEPREUS",primariasepreus@artelecom.net,ARAD,,Primarie
"SICULA",primariasicula@clicknet.ro,ARAD,,Primarie
"SILINDIA",primariasilindia@clicknet.ro,ARAD,,Primarie
"SIMAND",info@simand.org,ARAD,,Primarie
"SINTEA MARE",primsm2003@yahoo.com,ARAD,,Primarie
"SIRIA",primariasiria@yahoo.com,ARAD,,Primarie
"SISTAROVAT",prim_sistarovat@yahoo.com,ARAD,,Primarie
"SOFRONEA",primaria_sofronea@yahoo.com,ARAD,,Primarie
"TARNOVA",primariatirnova@yahoo.com,ARAD,,Primarie
"TAUT",primariataut@gmail.com,ARAD,,Primarie
"USUSAU",primariaususau@gmail.com,ARAD,,Primarie
"VARADIA DE MURES",primaria_varadia@yahoo.com,ARAD,,Primarie
"VARFURILE",consvarfurile@clicknet.ro,ARAD,,Primarie
"VINGA",primariavinga@clicknet.ro,ARAD,,Primarie
"ZABRANI",primariazabrani@yahoo.com,ARAD,,Primarie
"ZADARENI",primariazadareni@yahoo.com,ARAD,,Primarie
"ZERIND",primariazerind@yahoo.com,ARAD,,Primarie
"ZIMANDU NOU",primariazimandulnou@yahoo.com,ARAD,,Primarie
"PITESTI",primaria@primariapitesti.ro,ARGES,,Primarie Municipiu
"CAMPULUNG",campulung@muscel.ro,ARGES,,Primarie Municipiu
"CURTEA DE ARGES",primariacurteadearges@yahoo.com,ARGES,,Primarie Municipiu
"COSTESTI",primaria@primariacostestiag.ro,ARGES,,Primarie Oras
"MIOVENI",primariamioveni@primariamioveni.ro,ARGES,,Primarie Oras
"TOPOLOVENI",primarie@topoloveni.cjarges.ro,ARGES,,Primarie Oras
"ALBESTII DE ARGES",primaria_albestiidearges@yahoo.com,ARGES,,Primarie
"ALBESTII DE MUSCEL",primariaalbesti@yahoo.com,ARGES,,Primarie
"AREFU",primaria.arefu@yahoo.com,ARGES,,Primarie
"BABANA",primariababana@yahoo.com,ARGES,,Primarie
"BAICULESTI",baranescughe_primar_baiculesti@yahoo.com,ARGES,,Primarie
"BALILESTI",primaria_balilesti@yahoo.com,ARGES,,Primarie
"BARLA",primariabirla@yahoo.com,ARGES,,Primarie
"BASCOV",primariabascov@yahoo.com,ARGES,,Primarie
"BELETI-NEGRESTI",beleti_negresti@yahoo.com,ARGES,,Primarie
"BOGATI",primariabogati@yahoo.com,ARGES,,Primarie
"BOTENI",primariaboteniarges@yahoo.com,ARGES,,Primarie
"BRADULET",primaria_bradulet@yahoo.com,ARGES,,Primarie
"BUDEASA",primariabudeasa@personal.ro,ARGES,,Primarie
"BUGHEA DE JOS",primariabugheadejos@yahoo.com,ARGES,,Primarie
"BUGHEA DE SUS",primarie_primariabughea@yahoo.com,ARGES,,Primarie
"BUZOESTI",primariebuzoesti@yahoo.com,ARGES,,Primarie
"CALINESTI",primarie@calinesti.cjarges.ro,ARGES,,Primarie
"CATEASCA",primarie@cateasca.cjarges.ro,ARGES,,Primarie
"CETATENI",conscetateni@gmail.com,ARGES,,Primarie
"CIOFRANGENI",primaria@ciofrangeni.cjarges.ro,ARGES,,Primarie
"CORBENI",primaria_corbeni@yahoo.com,ARGES,,Primarie
"CORBI",primariacorbi@yahoo.com,ARGES,,Primarie
"CUCA",primariacucaag@yahoo.com,ARGES,,Primarie
"DAVIDESTI",primaria_davidesti@yahoo.com,ARGES,,Primarie
"DOBRESTI",primaria_dobresti_ag@yahoo.com,ARGES,,Primarie
"DOMNESTI",primariadomnesti@yahoo.com,ARGES,,Primarie
"DRAGANU",primariadraganu@yahoo.com,ARGES,,Primarie
"DRAGOSLAVELE",primaria@dragoslavele.ro,ARGES,,Primarie
"HARSESTI",prim_hirsesti@yahoo.com,ARGES,,Primarie
"HARTIESTI",hepenetgabi@yahoo.com,ARGES,,Primarie
"IZVORU",primaria_izvoru@yahoo.com,ARGES,,Primarie
"LEORDENI",primarieleordeni@yahoo.com,ARGES,,Primarie
"LUNCA CORBULUI",primaria_lunca_corbului@yahoo.com,ARGES,,Primarie
"MALURENI",primariamalureni@yahoo.com,ARGES,,Primarie
"MIHAESTI",primariamihaesti@yahoo.com,ARGES,,Primarie
"MIOARELE",primarie@mioarele.cjarges.ro,ARGES,,Primarie
"MORARESTI",primarie@moraresti.cjarges.ro,ARGES,,Primarie
"MOSOAIA",primaria_mosoaia@yahoo.com,ARGES,,Primarie
"MOZACENI",primariamozaceni@yahoo.com,ARGES,,Primarie
"MUSATESTI",musatesti_primarie@yahoo.com,ARGES,,Primarie
"NEGRASI",steliana.croitoru@negrasi.cjarges.ro,ARGES,,Primarie
"NUCSOARA",primaria_nucsoara@yahoo.com,ARGES,,Primarie
"PIETROSANI",prim1pietr@yahoo.com,ARGES,,Primarie
"POIANA LACULUI",primaria.placului@yahoo.com,ARGES,,Primarie
"PRIBOIENI",primariacomuneipriboieni@yahoo.com,ARGES,,Primarie
"RATESTI",primariaratesti@yahoo.com,ARGES,,Primarie
"ROCIU",primaria.rociu@yahoo.com,ARGES,,Primarie
"SCHITU GOLESTI",primarie@schitug.cjarges.ro,ARGES,,Primarie
"STOENESTI",primarie@stoenesti.cjarges.ro,ARGES,,Primarie
"SUSENI",iulica.din@suseni.cjarges.ro,ARGES,,Primarie
"TITESTI",primariatitesti@yahoo.com,ARGES,,Primarie
"UDA",primaria_uda@yahoo.com,ARGES,,Primarie
"VALEA DANULUI",primar@valeadanului.cjarges.ro,ARGES,,Primarie
"VALEA IASULUI",primaria_viasului@yahoo.com,ARGES,,Primarie
"VALEA MARE PRAVAT",primariavaleamarepravat@yahoo.fr,ARGES,,Primarie
"VEDEA",cl_vedea@yahoo.com,ARGES,,Primarie
"VULTURESTI",primariavulturestiag@yahoo.com,ARGES,,Primarie
"BACAU",contactprimarie@primariabacau.ro,BACAU,,Primarie Municipiu
"MOINESTI",consiliulocal@moinesti.ro,BACAU,,Primarie Municipiu
"ONESTI",secretar@onesti.ro,BACAU,,Primarie Municipiu
"BUHUSI",primariabuhusi@yahoo.com,BACAU,,Primarie Oras
"COMANESTI",relatiipublice@primariacomanesti.ro,BACAU,,Primarie Oras
"DARMANESTI",primaria_darmanesti@yahoo.com,BACAU,,Primarie Oras
"SLANIC MOLDOVA",primaria_sl@yahoo.com,BACAU,,Primarie Oras
"TARGU OCNA",primaria@tirguocna.ro,BACAU,,Primarie Oras
"AGAS",primariaagas@yahoo.com,BACAU,,Primarie
"ARDEOANI",primariaardeoani@yahoo.com,BACAU,,Primarie
"ASAU",primaria_asau@yahoo.com,BACAU,,Primarie
"BALCANI",primariabalcani@yahoo.com,BACAU,,Primarie
"BARSANESTI",barsanesti.primaria@gmail.com,BACAU,,Primarie
"BERESTI-BISTRITA",berestibistrita@judetbacau.ro,BACAU,,Primarie
"BERESTI-TAZLAU",primariaberesti_tazlau@yahoo.com,BACAU,,Primarie
"BERZUNTI",primariaberzunti@yahoo.com,BACAU,,Primarie
"BLAGESTI",primaria_blagesti@yahoo.com,BACAU,,Primarie
"BOGDANESTI",primariabogdanesti@easynet.ro,BACAU,,Primarie
"BRUSTUROASA",primariabrusturoasa@yahoo.com,BACAU,,Primarie
"BUCIUMI",primariabuciumicontab@yahoo.com,BACAU,,Primarie
"BUHOCI",primaria_buhoci@yahoo.com,BACAU,,Primarie
"CAIUTI",primariacaiuti@yahoo.com,BACAU,,Primarie
"CASIN",primaria_casin@yahoo.com,BACAU,,Primarie
"CLEJA",clcleja101@yahoo.com,BACAU,,Primarie
"COLONESTI",comunacolonesti@yahoo.com,BACAU,,Primarie
"CORBASCA",corbasca@judetbacau.ro,BACAU,,Primarie
"COTOFANESTI",cons_loc_cotofanesti@yahoo.com,BACAU,,Primarie
"DAMIENESTI",primaria.damienesti@yahoo.com,BACAU,,Primarie
"DEALU MORII",primarie@dealumorii.ro,BACAU,,Primarie
"DOFTEANA",pdofteana@yahoo.com,BACAU,,Primarie
"FARAOANI",faraoani@judetbacau.ro,BACAU,,Primarie
"FILIPENI",prfilipeni@yahoo.com,BACAU,,Primarie
"FILIPESTI",clfilip_bacau@yahoo.com,BACAU,,Primarie
"GAICEANA",gaiceana@yahoo.com,BACAU,,Primarie
"GARLENI",primaria.girleni@yahoo.com,BACAU,,Primarie
"GHIMES-FAGET",primariagf@yahoo.com,BACAU,,Primarie
"GIOSENI",primariagioseni@yahoo.com,BACAU,,Primarie
"GLAVANESTI",primarie@glavanesti.ro,BACAU,,Primarie
"GURA VAII",primariaguravaii@yahoo.com,BACAU,,Primarie
"HELEGIU",primariahelegiu@yahoo.com,BACAU,,Primarie
"HEMEIUS",contact@primariahemeius.ro,BACAU,,Primarie
"HORGESTI",primaria.horgesti@yahoo.com,BACAU,,Primarie
"HURUIESTI",primariahuruiesti@yahoo.com,BACAU,,Primarie
"ITESTI",primariaitesti@gmail.com,BACAU,,Primarie
"IZVORU BERHECIULUI",secretar@comunaizvoruberheciului.ro,BACAU,,Primarie
"LETEA VECHE",primarialeteaveche@yahoo.com,BACAU,,Primarie
"LIPOVA",primarialipovabc@gmail.com,BACAU,,Primarie
"LIVEZI",consiliullivezi@yahoo.com,BACAU,,Primarie
"LUIZI-CALUGARA",primarialuizicalugara@yahoo.com,BACAU,,Primarie
"MAGIRESTI",primariamagiresti@yahoo.com,BACAU,,Primarie
"MAGURA",primariamagurabacau@yahoo.com,BACAU,,Primarie
"MANASTIREA CASIN",manastireacasin@tim.ro,BACAU,,Primarie
"MOTOSENI",primariamotoseni@yahoo.com,BACAU,,Primarie
"NEGRI",primarie@primarianegri.judetbacau.ro,BACAU,,Primarie
"NICOLAE BALCESCU",contact@primaria-nicolae-balcescu.ro,BACAU,,Primarie
"ODOBESTI",odobesti_bc@yahoo.com,BACAU,,Primarie
"OITUZ",con_oituz@compnet.ro,BACAU,,Primarie
"ONCESTI",comunaoncesti@yahoo.com,BACAU,,Primarie
"ORBENI",consiliullocal_orbeni@yahoo.com,BACAU,,Primarie
"PALANCA",primariapalanca@yahoo.com,BACAU,,Primarie
"PANCESTI",primariapancesti@yahoo.com,BACAU,,Primarie
"PARAVA",primaria_parava@yahoo.com,BACAU,,Primarie
"PARGARESTI",cl-pargaresti@yahoo.com,BACAU,,Primarie
"PARINCEA",primaria.parincea@yahoo.com,BACAU,,Primarie
"PARJOL",primaria_parjol@yahoo.com,BACAU,,Primarie
"PLOPANA",primaria@comunaplopana.ro,BACAU,,Primarie
"PODU TURCULUI",primarie@poduturcului.ro,BACAU,,Primarie
"PODURI",autoritatealocala@yahoo.com,BACAU,,Primarie
"PRAJESTI",primariaprajesti@yahoo.com,BACAU,,Primarie
"RACACIUNI",cl_racaciuni@yahoo.com,BACAU,,Primarie
"RACHITOASA",primaria.rachitoasa@yahoo.com,BACAU,,Primarie
"RACOVA",primaria_comunei_racova@yahoo.com,BACAU,,Primarie
"ROSIORI",primaria@comunarosiori.ro,BACAU,,Primarie
"SANDULENI",primariasanduleni@yahoo.com,BACAU,,Primarie
"SARATA",reliaamelia@yahoo.com,BACAU,,Primarie
"SASCUT",primariasascut@yahoo.com,BACAU,,Primarie
"SAUCESTI",primariasaucesti@gmail.com,BACAU,,Primarie
"SCORTENI",primariascorteni@easynet.ro,BACAU,,Primarie
"SECUIENI",secretarxx@yahoo.com,BACAU,,Primarie
"SOLONT",primaria@comunasolont.ro,BACAU,,Primarie
"STRUGARI",primaria.strugari@yahoo.com,BACAU,,Primarie
"TAMASI",primariatamasi@yahoo.com,BACAU,,Primarie
"TARGU TROTUS",primariatg.trotus@yahoo.com,BACAU,,Primarie
"TATARASTI",primariatatarasti@yahoo.com,BACAU,,Primarie
"TRAIAN",comunatraian@yahoo.com,BACAU,,Primarie
"UNGURENI",contabil.ungureni@clbc.ro,BACAU,,Primarie
"URECHESTI",primarie@primaria-urechesti.ro,BACAU,,Primarie
"VALEA SEACA",consiliullocal_valeaseaca@yahoo.com,BACAU,,Primarie
"VULTURENI",primariavultureni@easynet.ro,BACAU,,Primarie
"ZEMES",consiliullocalzemes@yahoo.com,BACAU,,Primarie
"ORADEA",primarie@oradea.ro,BIHOR,,Primarie Municipiu
"BEIUS",primaria.beius@cjbihor.ro,BIHOR,,Primarie Municipiu
"MARGHITA",primaria@marghita.ro,BIHOR,,Primarie Municipiu
"SALONTA",primsal@rdslink.ro,BIHOR,,Primarie Municipiu
"ALESD",primaria.alesd@cjbihor.ro,BIHOR,,Primarie Oras
"NUCET",primaria.nucet@cjbihor.ro,BIHOR,,Primarie Oras
"SACUENI",primaria.sacueni@cjbihor.ro,BIHOR,,Primarie Oras
"STEI",primaria.stei@cjbihor.ro,BIHOR,,Primarie Oras
"VALEA LUI MIHAI",primaria.valealuimihai@cjbihor.ro,BIHOR,,Primarie Oras
"VASCAU",primaria_vascau@yahoo.com,BIHOR,,Primarie Oras
"ABRAM",primaria.abram@cjbihor.ro,BIHOR,,Primarie
"ABRAMUT",primaria.abramut@cjbihor.ro,BIHOR,,Primarie
"ASTILEU",primaria.astileu@cjbihor.ro,BIHOR,,Primarie
"AUSEU",primaria.auseu@cjbihor.ro,BIHOR,,Primarie
"AVRAM IANCU",primaria.avramiancu@cjbihor.ro,BIHOR,,Primarie
"BALC",primaria.balc@cjbihor.ro,BIHOR,,Primarie
"BATAR",primariabatar@yahoo.com,BIHOR,,Primarie
"BIHARIA",secretariat@comunabiharia.ro,BIHOR,,Primarie
"BOIANU MARE",primaria.boianumare@cjbihor.ro,BIHOR,,Primarie
"BOROD",primaria_borod@yahoo.com,BIHOR,,Primarie
"BORS",primaria.bors@cjbihor.ro,BIHOR,,Primarie
"BRATCA",primaria.bratca@cjbihor.ro,BIHOR,,Primarie
"BRUSTURI",primaria.brusturi@cjbihor.ro,BIHOR,,Primarie
"BUDUREASA",primaria.budureasa@cjbihor.ro,BIHOR,,Primarie
"BUDUSLAU",primaria.buduslau@cjbihor.ro,BIHOR,,Primarie
"BULZ",primaria.bulz@cjbihor.ro,BIHOR,,Primarie
"BUNTESTI",primaria.buntesti@cjbihor.ro,BIHOR,,Primarie
"CABESTI",primaria.cabesti@cjbihor.ro,BIHOR,,Primarie
"CAMPANI",primariacimpani@yahoo.com,BIHOR,,Primarie
"CAPALNA",primaria.capilna@cjbihor.ro,BIHOR,,Primarie
"CARPINET",primaria.carpinet@cjbihor.ro,BIHOR,,Primarie
"CEFA",primaria.cefa@cjbihor.ro,BIHOR,,Primarie
"CEICA",primaria.ceica@cjbihor.ro,BIHOR,,Primarie
"CETARIU",primaria.cetariu@cjbihor.ro,BIHOR,,Primarie
"CHERECHIU",primaria.cherechiu@cjbihor.ro,BIHOR,,Primarie
"CHISLAZ",primaria.chislaz@cjbihor.ro,BIHOR,,Primarie
"CIUHOI",primaria.ciuhoi@cjbihor.ro,BIHOR,,Primarie
"CIUMEGHIU",primaria_ciumeghiu@yahoo.com,BIHOR,,Primarie
"COCIUBA MARE",primaria.cociubamare@cjbihor.ro,BIHOR,,Primarie
"COPACEL",primaria.copacel@cjbihor.ro,BIHOR,,Primarie
"CRISTIORU DE JOS",primariacristioru@yahoo.com,BIHOR,,Primarie
"CURATELE",primaria.curatele@cjbihor.ro,BIHOR,,Primarie
"CURTUISENI",primaria.curtuiseni@cjbihor.ro,BIHOR,,Primarie
"DERNA",primaria_derna@yahoo.com,BIHOR,,Primarie
"DIOSIG",primaria.diosig@cjbihor.ro,BIHOR,,Primarie
"DOBRESTI",prim.dobresti@yahoo.com,BIHOR,,Primarie
"DRAGANESTI",primaria.draganesti@cjbihor.ro,BIHOR,,Primarie
"DRAGESTI",primaria.dragesti@cjbihor.ro,BIHOR,,Primarie
"FINIS",primaria.finis@cjbihor.ro,BIHOR,,Primarie
"GEPIU",primaria.gepiu@yahoo.com,BIHOR,,Primarie
"GIRISU DE CRIS",primaria.girisudecris@cjbihor.ro,BIHOR,,Primarie
"HIDISELU DE SUS",primaria.hidiseludesus@cjbihor.ro,BIHOR,,Primarie
"HOLOD",primaria.holod@cjbihor.ro,BIHOR,,Primarie
"HUSASAU DE TINCA",primaria.husasaudetinca@cjbihor.ro,BIHOR,,Primarie
"INEU",primariaineu@yahoo.com,BIHOR,,Primarie
"LAZARENI",primaria.lazareni@cjbihor.ro,BIHOR,,Primarie
"LAZURI DE BEIUS",primaria.lazuridebeius@cjbihor.ro,BIHOR,,Primarie
"LUGASU DE JOS",primaria.lugasudejos@cjbihor.ro,BIHOR,,Primarie
"LUNCA",primarialunca@yahoo.com,BIHOR,,Primarie
"MADARAS",primaria.madaras@cjbihor.ro,BIHOR,,Primarie
"MAGESTI",primaria.magesti@cjbihor.ro,BIHOR,,Primarie
"NOJORID",primaria.nojorid@cjbihor.ro,BIHOR,,Primarie
"OLCEA",primaria.olcea@cjbihor.ro,BIHOR,,Primarie
"OSORHEI",primaria.osorhei@cjbihor.ro,BIHOR,,Primarie
"PALEU",primaria@paleu.ro,BIHOR,,Primarie
"PIETROASA",primaria.pietroasa@cjbihor.ro,BIHOR,,Primarie
"POCOLA",primariapocola@clicknet.ro,BIHOR,,Primarie
"POPESTI",primariapopestibihor@yahoo.com,BIHOR,,Primarie
"RABAGANI",primaria.rabagani@cjbihor.ro,BIHOR,,Primarie
"REMETEA",primaria_remetea@yahoo.com,BIHOR,,Primarie
"RIENI",primaria_rieni@yahoo.com,BIHOR,,Primarie
"ROSIA",primaria_rosia2007@yahoo.com,BIHOR,,Primarie
"ROSIORI",primaria.rosiori@cjbihor.ro,BIHOR,,Primarie
"SACADAT",primaria.sacadat@cjbihor.ro,BIHOR,,Primarie
"SALACEA",primaria.salacea@cjbihor.ro,BIHOR,,Primarie
"SALARD",primaria.salard@cjbihor.ro,BIHOR,,Primarie
"SAMBATA",primaria_sambata@yahoo.com,BIHOR,,Primarie
"SANMARTIN",primaria.sanmartin@cjbihor.ro,BIHOR,,Primarie
"SANNICOLAU ROMAN",primaria.sanicolauroman@cjbihor.ro,BIHOR,,Primarie
"SANTANDREI",primaria.santandrei@cjbihor.ro,BIHOR,,Primarie
"SARBI",primariasirbi@yahoo.com,BIHOR,,Primarie
"SIMIAN",primaria.simian@cjbihor.ro,BIHOR,,Primarie
"SINTEU",primaria.sinteu@cjbihor.ro,BIHOR,,Primarie
"SOIMI",primaria.soimi@cjbihor.ro,BIHOR,,Primarie
"SPINUS",primariaspinus@yahoo.com,BIHOR,,Primarie
"SUNCUIUS",primaria.suncuius@cjbihor.ro,BIHOR,,Primarie
"SUPLACU DE BARCAU",primaria.suplacudebarcau@cjbihor.ro,BIHOR,,Primarie
"TAMASEU",primariatamaseu@gmail.com,BIHOR,,Primarie
"TARCAIA",primaria.tarcaia@cjbihor.ro,BIHOR,,Primarie
"TARCEA",primaria.tarcea@cjbihor.ro,BIHOR,,Primarie
"TAUTEU",primariatauteu@yahoo.com,BIHOR,,Primarie
"TETCHEA",primaria.tetchea@cjbihor.ro,BIHOR,,Primarie
"TILEAGD",primaria_tileagd@yahoo.com,BIHOR,,Primarie
"TINCA",primaria.tinca@cjbihor.ro,BIHOR,,Primarie
"TOBOLIU",primariatoboliu@yahoo.com,BIHOR,,Primarie
"TULCA",primaria.tulca@cjbihor.ro,BIHOR,,Primarie
"UILEACU DE BEIUS",primaria.uileacudebeius@cjbihor.ro,BIHOR,,Primarie
"VADU CRISULUI",primaria.vaducrisului@cjbihor.ro,BIHOR,,Primarie
"VARCIOROG",primaria.virciorog@cjbihor.ro,BIHOR,,Primarie
"VIISOARA",primaria.viisoara@cjbihor.ro,BIHOR,,Primarie
