Nume,Email,Judet,Telefon,Tip
"ORASTIE",primaria@orastie.info.ro,HUNEDOARA,,Primarie Municipiu
"PETROSANI",primaria.petrosani@upcmail.ro,HUNEDOARA,,Primarie Municipiu
"SLOBOZIA",office@sloboziail.ro,IALOMITA,,Primarie Municipiu
"FETESTI",contact@primariafetesti.ro,IALOMITA,,Primarie Municipiu
"URZICENI",urziceni_primaria@yahoo.com,IALOMITA,,Primarie Municipiu
"IASI",informatii@primaria-iasi.ro,IASI,,Primarie Municipiu
"PASCANI",contact@primariapascani.ro,IASI,,Primarie Municipiu
"BAIA MARE",doriana.nica@baiamarecity.ro,MARAMURES,,Primarie Municipiu
"SIGHETU MARMATIEI",primaria@primariasighet.ro,MARAMURES,,Primarie Municipiu
"DROBETA-TURNU SEVERIN",primaria@primariadrobeta.ro,MEHEDINTI,,Primarie Municipiu
"ORSOVA",primariaorsova@primariaorsova.ro,MEHEDINTI,,Primarie Municipiu
"TARGU MURES",tgmures@cjmures.ro,MURES,,Primarie Municipiu
"REGHIN",reghin@cjmures.ro,MURES,,Primarie Municipiu
"SIGHISOARA",sighisoara@cjmures.ro,MURES,,Primarie Municipiu
"TARNAVENI",tirnaveni@cjmures.ro,MURES,,Primarie Municipiu
"PIATRA NEAMT",infopn@primariapn.ro,NEAMT,,Primarie Municipiu
"ROMAN",recensamant@primariaroman.ro,NEAMT,,Primarie Municipiu
"SLATINA",pms_it@primariaslatina.ro,OLT,,Primarie Municipiu
"CARACAL",office@primariacaracal.ro,OLT,,Primarie Municipiu
"PLOIESTI",comunicare@ploiesti.ro,PRAHOVA,,Primarie Municipiu
"CAMPINA",web@primariacampina.ro,PRAHOVA,,Primarie Municipiu
"ZALAU",primaria@zalausj.ro,SALAJ,,Primarie Municipiu
"SATU MARE",primaria@satu-mare.ro,SATU MARE,,Primarie Municipiu
"CAREI",primariacar@yahoo.com,SATU MARE,,Primarie Municipiu
"SIBIU",secretar@sibiu.ro,SIBIU,,Primarie Municipiu
"MEDIAS",primaria@primariamedias.ro,SIBIU,,Primarie Municipiu
"SUCEAVA",primsv@primariasv.ro,SUCEAVA,,Primarie Municipiu
"CAMPULUNG MOLDOVENESC",primaria@campulungmoldovenesc.ro,SUCEAVA,,Primarie Municipiu
"FALTICENI",massmedia@falticeni.ro,SUCEAVA,,Primarie Municipiu
"RADAUTI",relatiipublice@primariaradauti.ro,SUCEAVA,,Primarie Municipiu
"VATRA DORNEI",primaria@vatra-dornei.ro,SUCEAVA,,Primarie Municipiu
"ROSIORI DE VEDE",postmaster@primariarosioriidevede.ro,TELEORMAN,,Primarie Municipiu
"TURNU MAGURELE",primariatm@yahoo.com,TELEORMAN,,Primarie Municipiu
"TIMISOARA",primariatm@primariatm.ro,TIMIS,,Primarie Municipiu
"LUGOJ",contact@primarialugoj.ro,TIMIS,,Primarie Municipiu
"TULCEA",primtl@tim.ro;eventhi@yahoo.com,TULCEA,,Primarie Municipiu
"RAMNICU VALCEA",primaria@primariavl.ro,VALCEA,,Primarie Municipiu
"DRAGASANI",primariadragasani@yahoo.com,VALCEA,,Primarie Municipiu
"VASLUI",pmv@primariavaslui.ro,VASLUI,,Primarie Municipiu
"BARLAD",informatica@primariabarlad.ro,VASLUI,,Primarie Municipiu
"HUSI",primar@primariahusi.ro,VASLUI,,Primarie Municipiu
"ADJUD",primariaadjud@gmail.com,VRANCEA,,Primarie Municipiu
"Alba",prefectura@prefecturaalba.ro,Alba,,Prefectura
"Arad",pja@prefecturaarad.ro,Arad,,Prefectura
"Argeș",relatii.publice@prefecturaarges.ro,Argeș,,Prefectura
"Bacău",secretariat@prefecturabacau.ro,Bacău,,Prefectura
"Bihor",registratura@prefecturabihor.ro,Bihor,,Prefectura
"Bistrita Năsăud",inform_publice@prefecturabn.ro,Bistrita Năsăud,,Prefectura
"Botoșani",email@prefecturabotosani.ro,Botoșani,,Prefectura
"Brăila",informatiipublice@prefecturabraila.ro,Brăila,,Prefectura
"Brașov",cabinet.prefect@prefecturabrasov.ro,Brașov,,Prefectura
"București",cancelarie.prefect.ipb@mai.gov.ro,București,,Prefectura
"Buzău",prefect@prefecturabuzau.ro,Buzău,,Prefectura
"Călărași",prefectura@prefecturacalarasi.ro,Călărași,,Prefectura
"Caraș-Severin",prefect@prefcs.ro,Caraș-Severin,,Prefectura
"Cluj-Napoca",prefectura@prefecturacluj.ro,Cluj-Napoca,,Prefectura
"Constanța",cancelarie@prefecturaconstanta.ro,Constanța,,Prefectura
"Covasna",cabinetulprefectului@prefecturacv.ro,Covasna,,Prefectura
"Dâmbovița",secretariat.ipdb@mai.gov.ro,,Dâmbovița,,Prefectura
"Dolj",office@prefecturadolj.ro,Dolj,,Prefectura
"Galați",prefect@prefecturagalati.ro,Galați,,Prefectura
"Giurgiu",secretariat1@prefecturagiurgiu.ro,Giurgiu,,Prefectura
"Gorj",prefect@prefecturagorj.ro,Gorj,,Prefectura
"Harghita",office@prefecturahr.ro,Harghita,,Prefectura
"Hunedoara",cancelarie@prefecturahunedoara.ro,Hunedoara,,Prefectura
"Ialomița",cancelarie@prefecturaialomita.ro;,Ialomița,,Prefectura
"Iași",contact@prefecturaiasi.ro,Iași,,Prefectura
"Ilfov",cancelarie@prefecturailfov.ro,Ilfov,,Prefectura
"Maramureș",prefect@prefecturamaramureş.ro,Maramureș,,Prefectura
"Mehedinți",prefect@prefecturamehedinti.ro,Mehedinți,,Prefectura
"Mureș",prefect@prefecturamures.ro,Mureș,,Prefectura
"Neamț",office@prefecturaneamt.ro,Neamț,,Prefectura
"Olt",prefectura@prefecturaolt.ro,Olt,,Prefectura
"Prahova",prahova.gov@rdsmail.ro,Prahova,,Prefectura
"Salaj",psj@prefecturasalaj.ro,Salaj,,Prefectura
"Satu Mare",contact@prefecturasatumare.ro,Satu Mare,,Prefectura
"Sibiu",institutiaprefectului@prefecturasibiu.ro,Sibiu,,Prefectura
"Suceava",prefsv@prefecturasuceava.ro,Suceava,,Prefectura
"Teleorman",office@prefectura-teleorman.ro,Teleorman,,Prefectura
"Timiș",contact@prefecturatimis.ro,Timiș,,Prefectura
"Tulcea",directorcabinet@prefecturatulcea.ro,Tulcea,,Prefectura
"Vâlcea",prefect@prefecturavalcea.ro,Vâlcea,,Prefectura
"Vaslui",prefectura@prefecturavaslui.ro,Vaslui,,Prefectura
"Vrancea",prefectura@prefecturavrancea.ro,Vrancea,,Prefectura
"Alba",cjalba@cjalba.ro,Alba,,Consiliu Judetean
"Arad",consiliul@cjarad.ro,Arad,,Consiliu Judetean
"Argeș",ionelvoica@yahoo.com,Argeș,,Consiliu Judetean
"Bacău",presedinte@csjbacau.ro,Bacău,,Consiliu Judetean
"Bihor",registratura@cjbihor.ro,Bihor,,Consiliu Judetean
"Bistrita Năsăud",cjbn@cjbn.ro,Bistrita Năsăud,,Consiliu Judetean
"Botoșani",consiliu@cjbotosani.ro,Botoșani,,Consiliu Judetean
"Brăila",consiliu@cjbraila.ro,Brăila,,Consiliu Judetean
"Brașov",relatii.publice.cj@judbrasov.ro,Brașov,,Consiliu Judetean
"Buzău",cjbuzau@cjbuzau.ro,Buzău,,Consiliu Judetean
"Călărași",cjcalarasi@calarasi.ro,Călărași,,Consiliu Judetean
"Caraș-Severin",cjcs@cjcs.ro,Caraș-Severin,,Consiliu Judetean
"Cluj-Napoca",cjc@cjcluj.ro,Cluj-Napoca,,Consiliu Judetean
"Constanța",consjud@cjc.ro,Constanța,,Consiliu Judetean
"Covasna",office@kvmt.ro,Covasna,,Consiliu Judetean
"Dâmbovița",consjdb@cjd.ro,Dâmbovița,,Consiliu Judetean
"Dolj",contact@cjdolj.ro,Dolj,,Consiliu Judetean
"Galați",conducere@cjgalati.ro,Galați,,Consiliu Judetean
"Giurgiu",cjg@cjgiurgiu.ro,Giurgiu,,Consiliu Judetean
"Gorj",consjud@cjgorj.ro,Gorj,,Consiliu Judetean
"Harghita",info@judetulharghita.ro,Harghita,,Consiliu Judetean
"Hunedoara",cjh@cjhunedoara.ro,Hunedoara,,Consiliu Judetean
"Ialomița",cji@cicnet.ro,Ialomița,,Consiliu Judetean
"Iași",ghiseu.unic@icc.ro,Iași,,Consiliu Judetean
"Ilfov",cjilfov@cjilfov.ro,Ilfov,,Consiliu Judetean
"Maramureș",office@maramures.ro,Maramureș,,Consiliu Judetean
"Mehedinți",public@cjmehedinti.ro,Mehedinți,,Consiliu Judetean
"Mureș",cjmures@cjmures.ro,Mureș,,Consiliu Judetean
"Neamț",cons.judetean@cjneamt.ro,Neamț,,Consiliu Judetean
"Olt",cjolt@cjolt.ro,Olt,,Consiliu Judetean
"Prahova",cons_jud@cjph.ro,Prahova,,Consiliu Judetean
"Salaj",office@cjsaj.ro,Salaj,,Consiliu Judetean
"Satu Mare",office@cjsm.ro,Satu Mare,,Consiliu Judetean
"Sibiu",judet@cjsibiu.ro,Sibiu,,Consiliu Judetean
"Suceava",contact@cjsuceava.ro,Suceava,,Consiliu Judetean
"Teleorman",cjt@cjteleorman.ro,Teleorman,,Consiliu Judetean
"Timiș",cjt@cjtimis.ro,Timiș,,Consiliu Judetean
"Tulcea",office@cjtulcea.ro,Tulcea,,Consiliu Judetean
"Vâlcea",consiliu@cjvalcea.ro,Vâlcea,,Consiliu Judetean
"Vaslui",consiliu@cjvs.eu,Vaslui,,Consiliu Judetean
"Vrancea",contact@cjvrancea.ro,Vrancea,,Consiliu Judetean
