Nume,Email,Judet,Telefon,Tip
"CODLEA",primariacodlea@yahoo.com,BRASOV,,Primarie Municipiu
"FAGARAS",secretariat@primaria-fagaras.ro,BRASOV,,Primarie Municipiu
"SACELE",primaria_sacele@yahoo.com,BRASOV,,Primarie Municipiu
"GHIMBAV",primariagh@artelecom.net,BRASOV,,Primarie Oras
"PREDEAL",primar@primaria-predeal.ro,BRASOV,,Primarie Oras
"RASNOV",primariarasnov@yahoo.com,BRASOV,,Primarie Oras
"RUPEA",contact@primariarupea.ro,BRASOV,,Primarie Oras
"VICTORIA",primaria.victoria@yahoo.com,BRASOV,,Primarie Oras
"ZARNESTI",primaria@zarnesti.net,BRASOV,,Primarie Oras
"BUZAU",primbz_cabinet@buzau.ro,BUZAU,,Primarie Municipiu
"RAMNICU SARAT",primarie_rmsarat@yahoo.com,BUZAU,,Primarie Municipiu
"NEHOIU",primarianehoiu@yahoo.com,BUZAU,,Primarie Oras
"PATARLAGELE",primaria.patarlagele@yahoo.com,BUZAU,,Primarie Oras
"POGOANELE",primariepogoanele@yahoo.com,BUZAU,,Primarie Oras
"CALARASI",calarasi@municipiu.ro,CALARASI,,Primarie Municipiu
"OLTENITA",secretariat.primariaoltenita@gmail.com,CALARASI,,Primarie Municipiu
"BUDESTI",primaria_budesti@clicknet.ro,CALARASI,,Primarie Oras
"FUNDULEA",primariafundulea@yahoo.com,CALARASI,,Primarie Oras
"LEHLIU GARA",consiliullocal@yahoo.com,CALARASI,,Primarie Oras
"RESITA",primar@primariaresita.ro,CARAS-SEVERIN,,Primarie Municipiu
"CARANSEBES",primaria.caransebes@gmail.com,CARAS-SEVERIN,,Primarie Municipiu
"ANINA",primar@anina.ro,CARAS-SEVERIN,,Primarie Oras
"BAILE HERCULANE",primbh@yahoo.com,CARAS-SEVERIN,,Primarie Oras
"BOCSA",primariabocsa@yahoo.com,CARAS-SEVERIN,,Primarie Oras
"MOLDOVA NOUA",primaria@pmn.ro,CARAS-SEVERIN,,Primarie Oras
"ORAVITA",oravitaprimarie@gmail.com,CARAS-SEVERIN,,Primarie Oras
"OTELU ROSU",primaria_otelurosu@yahoo.com,CARAS-SEVERIN,,Primarie Oras
"CLUJ-NAPOCA",administratiepublica@primariaclujnapoca.ro,CLUJ,,Primarie Municipiu
"CAMPIA TURZII",primaria@campiaturzii.ro,CLUJ,,Primarie Municipiu
"DEJ",primaria@dej.ro,CLUJ,,Primarie Municipiu
"GHERLA",primar_gherla@yahoo.com,CLUJ,,Primarie Municipiu
"TURDA",primturda@yahoo.com,CLUJ,,Primarie Municipiu
"HUEDIN",primar@primariahuedin.ro,CLUJ,,Primarie Oras
"MANGALIA",primarie@mangalia.ro,CONSTANTA,,Primarie Municipiu
"MEDGIDIA",primaria_medgidia@yahoo.com,CONSTANTA,,Primarie Municipiu
"BANEASA",primariabaneasa@yahoo.com,CONSTANTA,,Primarie Oras
"CERNAVODA",primaria@cernavoda.ro,CONSTANTA,,Primarie Oras
"HARSOVA",secretariat@primaria-harsova.ro,CONSTANTA,,Primarie Oras
"NAVODARI",secretariat@primaria-navodari.ro,CONSTANTA,,Primarie Oras
"NEGRU VODA",primaria_negruvoda@yahoo.com,CONSTANTA,,Primarie Oras
"OVIDIU",primaria_ovidiu@yahoo.com,CONSTANTA,,Primarie Oras
"BARAOLT",secretar@primariabaraolt.ro,COVASNA,,Primarie Oras
"COVASNA",secretar@primariacovasna.ro,COVASNA,,Primarie Oras
"INTORSURA BUZAULUI",pib@intorsurabuzaului.ro,COVASNA,,Primarie Oras
"TARGOVISTE",primarulmunicipiuluitargoviste@pmtgv.ro,DAMBOVITA,,Primarie Municipiu
" MORENI",contact@primariamoreni.ro,DAMBOVITA,,Primarie Municipiu
"FIENI",fieni.primaria@gmail.com,DAMBOVITA,,Primarie Oras
"PUCIOASA",info@primpuc.ro,DAMBOVITA,,Primarie Oras
"CRAIOVA",cv22primaria@cjdolj.ro,DOLJ,,Primarie Municipiu
"BAILESTI",bailesti@cjdolj.ro,DOLJ,,Primarie Municipiu
"CALAFAT",calafat@cjdolj.ro,DOLJ,,Primarie Municipiu
"BECHET",bechet@cjdolj.ro,DOLJ,,Primarie Oras
"DABULENI",dabuleni@cjdolj.ro,DOLJ,,Primarie Oras
"FILIASI",filiasi@cjdolj.ro,DOLJ,,Primarie Oras
"SEGARCEA",segarcea@cjdolj.ro,DOLJ,,Primarie Oras
"GALATI",mail@primaria.galati.ro,GALATI,,Primarie Municipiu
"TECUCI",primtecuci@yahoo.com,GALATI,,Primarie Municipiu
"BERESTI",primariaberesti@yahoo.com,GALATI,,Primarie Oras
"TARGU BUJOR",primariatgbujor@yahoo.com,GALATI,,Primarie Oras
"GIURGIU",primar@primaria-giurgiu.ro,GIURGIU,,Primarie Municipiu
"BOLINTIN-VALE",vrenicuadrian@yahoo.com,GIURGIU,,Primarie Oras
"MIHAILESTI",primmiha_gr@yahoo.com,GIURGIU,,Primarie Oras
"TARGU JIU",primaria.targujiu@xnet.ro,GORJ,,Primarie Municipiu
"MOTRU",primaria@primariamotru.ro,GORJ,,Primarie Municipiu
"BUMBESTI-JIU",primaria@bumbesti-jiu.ro,GORJ,,Primarie Oras
"NOVACI",primaria_novaci@yahoo.com,GORJ,,Primarie Oras
"ROVINARI",office@primariarovinari.ro,GORJ,,Primarie Oras
"TARGU CARBUNESTI",office@primariacarbunesti.ro,GORJ,,Primarie Oras
"TICLENI",primaria_ticleni@yahoo.com,GORJ,,Primarie Oras
"TISMANA",tismanaprimaria@yahoo.com,GORJ,,Primarie Oras
"TURCENI",mciobanu75@yahoo.com,GORJ,,Primarie Oras
"MIERCUREA CIUC",primaria@miercureaciuc.ro,HARGHITA,,Primarie Municipiu
" GHEORGHENI",secretar@gheorgheni.ro,HARGHITA,,Primarie Municipiu
" TOPLITA",secretariat@primariatoplita.ro,HARGHITA,,Primarie Municipiu
"ODORHEIU SECUIESC",office@varoshaza.ro,HARGHITA,,Primarie Municipiu
"BAILE TUSNAD",klarabodo@yahoo.com,HARGHITA,,Primarie Oras
"BALAN",office@orasulbalan.ro,HARGHITA,,Primarie Oras
"BORSEC",primaria@primaria-borsec.ro,HARGHITA,,Primarie Oras
"CRISTURU SECUIESC",office@keresztur.ro,HARGHITA,,Primarie Oras
"VLAHITA",office@primariavlahita.ro,HARGHITA,,Primarie Oras
"DEVA",primar@primariadeva.ro,HUNEDOARA,,Primarie Municipiu
" VULCAN",primvulcan@yahoo.com,HUNEDOARA,,Primarie Municipiu
"BRAD",bradprim@yahoo.com,HUNEDOARA,,Primarie Municipiu
"HUNEDOARA",primar@mail.primariahd.ro,HUNEDOARA,,Primarie Municipiu
"LUPENI",primaria@e-lupeni.ro,HUNEDOARA,,Primarie Municipiu
"ORASTIE",primaria@orastie.info.ro,HUNEDOARA,,Primarie Municipiu
"PETROSANI",primaria.petrosani@upcmail.ro,HUNEDOARA,,Primarie Municipiu
"ANINOASA",primariaaninoasa@yahoo.com,HUNEDOARA,,Primarie Oras
"CALAN",primariacalan@yahoo.com,HUNEDOARA,,Primarie Oras
"GEOAGIU",secretar@geoagiu.ro,HUNEDOARA,,Primarie Oras
"HATEG",primaria.hateg@yahoo.com,HUNEDOARA,,Primarie Oras
"PETRILA",primariapetrila2008@yahoo.com,HUNEDOARA,,Primarie Oras
"SIMERIA",prim.simeria@smart.ro,HUNEDOARA,,Primarie Oras
"URICANI",primariauricani@gmail.com,HUNEDOARA,,Primarie Oras
"ORASTIOARA DE SUS",primariaorastioaradesus@yahoo.com,HUNEDOARA,,Primarie Oras
"SLOBOZIA",office@sloboziail.ro,IALOMITA,,Primarie Municipiu
"FETESTI",contact@primariafetesti.ro,IALOMITA,,Primarie Municipiu
"URZICENI",urziceni_primaria@yahoo.com,IALOMITA,,Primarie Municipiu
"AMARA",consiliullocalamara@yahoo.com,IALOMITA,,Primarie Oras
"CAZANESTI",primcazanesti@yahoo.com,IALOMITA,,Primarie Oras
"FIERBINTI-TARG",primariafierbinti@yahoo.com,IALOMITA,,Primarie Oras
"TANDAREI",primaria_tandarei@yahoo.com,IALOMITA,,Primarie Oras
"IASI",informatii@primaria-iasi.ro,IASI,,Primarie Municipiu
"PASCANI",contact@primariapascani.ro,IASI,,Primarie Municipiu
"HARLAU",primariahirlau@yahoo.com,IASI,,Primarie Oras
"PODU ILOAIEI",podu_iloaiei@yahoo.com,IASI,,Primarie Oras
"TARGU FRUMOS",atps1@primariatg-frumos.ro,IASI,,Primarie Oras
"BRAGADIRU",primariabragadiru@yahoo.com,ILFOV,,Primarie Oras
"BUFTEA",primariabuftea@primariabuftea.ro,ILFOV,,Primarie Oras
"CHITILA",primar@primariachitila.ro,ILFOV,,Primarie Oras
"MAGURELE",primaria@magurele.ro,ILFOV,,Primarie Oras
"OTOPENI",secretariat@otopeniro.ro,ILFOV,,Primarie Oras
"PANTELIMON",secretariat@primariapantelimon.ro,ILFOV,,Primarie Oras
"POPESTI LEORDENI",primar@ppl.ro,ILFOV,,Primarie Oras
"VOLUNTARI",primaria-voluntari@primaria-voluntari.ro,ILFOV,,Primarie Oras
"BAIA MARE",doriana.nica@baiamarecity.ro,MARAMURES,,Primarie Municipiu
"SIGHETU MARMATIEI",primaria@primariasighet.ro,MARAMURES,,Primarie Municipiu
"BAIA SPRIE",primaria@baiasprie.ro,MARAMURES,,Primarie Oras
"BORSA",turismlaborsa@yahoo.com,MARAMURES,,Primarie Oras
"CAVNIC",primariacavnic@yahoo.com,MARAMURES,,Primarie Oras
"DRAGOMIRESTI",primaria.dragomiresti@yahoo.com,MARAMURES,,Primarie Oras
"SALISTEA DE SUS",primariasalistea@yahoo.com,MARAMURES,,Primarie Oras
"SEINI",primariaseini@yahoo.com,MARAMURES,,Primarie Oras
"SOMCUTA MARE",primaria.somcutamare@gmail.com,MARAMURES,,Primarie Oras
"TARGU LAPUS",primaria_tgl@yahoo.com,MARAMURES,,Primarie Oras
"TAUTII-MAGHERAUS",secretartautimm@yahoo.com,MARAMURES,,Primarie Oras
"ULMENI",consiliullocal_ulmeni@yahoo.com,MARAMURES,,Primarie Oras
"DROBETA-TURNU SEVERIN",primaria@primariadrobeta.ro,MEHEDINTI,,Primarie Municipiu
"ORSOVA",primariaorsova@primariaorsova.ro,MEHEDINTI,,Primarie Municipiu
"BAIA DE ARAMA",primaria_bda@yahoo.com,MEHEDINTI,,Primarie Oras
"STREHAIA",primariastrehaia@yahoo.com,MEHEDINTI,,Primarie Oras
"VANJU MARE",primariavanjumare@yahoo.com,MEHEDINTI,,Primarie Oras
"TARGU MURES",tgmures@cjmures.ro,MURES,,Primarie Municipiu
"REGHIN",reghin@cjmures.ro,MURES,,Primarie Municipiu
"SIGHISOARA",sighisoara@cjmures.ro,MURES,,Primarie Municipiu
"TARNAVENI",tirnaveni@cjmures.ro,MURES,,Primarie Municipiu
"IERNUT",iernut@cjmures.ro,MURES,,Primarie Oras
"LUDUS",ludus@cjmures.ro,MURES,,Primarie Oras
"MIERCUREA NIRAJULUI",mniraj@cjmures.ro,MURES,,Primarie Oras
"SANGEORGIU DE PADURE",sgpadure@cjmures.ro,MURES,,Primarie Oras
"SARMASU",sarmasu@cjmures.ro,MURES,,Primarie Oras
"SOVATA",sovata@cjmures.ro,MURES,,Primarie Oras
"UNGHENI",ungheni@cjmures.ro,MURES,,Primarie Oras
"PIATRA NEAMT",infopn@primariapn.ro,NEAMT,,Primarie Municipiu
"ROMAN",recensamant@primariaroman.ro,NEAMT,,Primarie Municipiu
"BICAZ",primariabicaz@yahoo.com,NEAMT,,Primarie Oras
"ROZNOV",primariaroznov@yahoo.com,NEAMT,,Primarie Oras
"TARGU NEAMT",relatiipublice@primariatgneamt.ro,NEAMT,,Primarie Oras
"SLATINA",pms_it@primariaslatina.ro,OLT,,Primarie Municipiu
"CARACAL",office@primariacaracal.ro,OLT,,Primarie Municipiu
"BALS",primaria@bals.ro,OLT,,Primarie Oras
"CORABIA",primariacorabia@yahoo.com,OLT,,Primarie Oras
"DRAGANESTI-OLT",secretar@draganesti-olt.ro,OLT,,Primarie Oras
"PIATRA-OLT",primariapiatraolt@yahoo.com,OLT,,Primarie Oras
"POTCOAVA",primariapotcoava@yahoo.com,OLT,,Primarie Oras
"SCORNICESTI",primariascornicesti@yahoo.com,OLT,,Primarie Oras
"PLOIESTI",comunicare@ploiesti.ro,PRAHOVA,,Primarie Municipiu
"CAMPINA",web@primariacampina.ro,PRAHOVA,,Primarie Municipiu
"AZUGA",azuga@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"BAICOI",baicoi@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"BOLDESTI-SCAENI",boldestiscaieni@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"BREAZA",breaza@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"BUSTENI",primabus@yahoo.com,PRAHOVA,,Primarie Oras
"COMARNIC",comarnic@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"MIZIL",mizil@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"PLOPENI",plopeni@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"SINAIA",sinaia@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"SLANIC",slanic@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"URLATI",urlati@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"VALENII DE MUNTE",valeniidemunte@prefecturaprahova.ro,PRAHOVA,,Primarie Oras
"ZALAU",primaria@zalausj.ro,SALAJ,,Primarie Municipiu
"CEHU SILVANIEI",primaria_cehu@yahoo.com,SALAJ,,Primarie Oras
"JIBOU",primaria_jibou@yahoo.com,SALAJ,,Primarie Oras
"SIMLEU SILVANIEI",primaria_simleu@yahoo.com,SALAJ,,Primarie Oras
"SATU MARE",primaria@satu-mare.ro,SATU MARE,,Primarie Municipiu
"CAREI",primariacar@yahoo.com,SATU MARE,,Primarie Municipiu
"ARDUD",primaria.ardud@yahoo.com,SATU MARE,,Primarie Oras
"LIVADA",primarialivadasm@yahoo.com,SATU MARE,,Primarie Oras
"NEGRESTI-OAS",primarie@negresti-oas.ro,SATU MARE,,Primarie Oras
"TASNAD",office@primariatasnad.ro,SATU MARE,,Primarie Oras
"ORASU NOU",corasunou@yahoo.com,SATU MARE,,Primarie Oras
"SIBIU",secretar@sibiu.ro,SIBIU,,Primarie Municipiu
"MEDIAS",primaria@primariamedias.ro,SIBIU,,Primarie Municipiu
"COPSA MICA",primaria_copsa@birotec.ro,SIBIU,,Primarie Oras
"DUMBRAVENI",primaria_dumbraveni@yahoo.com,SIBIU,,Primarie Oras
"MIERCUREA SIBIULUI",primmsb@yahoo.com,SIBIU,,Primarie Oras
"OCNA SIBIULUI",primariaocna@yahoo.com,SIBIU,,Primarie Oras
"SALISTE",secretarsaliste@yahoo.com,SIBIU,,Primarie Oras
"TALMACIU",iliesoima@gmail.com,SIBIU,,Primarie Oras
"SUCEAVA",primsv@primariasv.ro,SUCEAVA,,Primarie Municipiu
"CAMPULUNG MOLDOVENESC",primaria@campulungmoldovenesc.ro,SUCEAVA,,Primarie Municipiu
"FALTICENI",massmedia@falticeni.ro,SUCEAVA,,Primarie Municipiu
"RADAUTI",relatiipublice@primariaradauti.ro,SUCEAVA,,Primarie Municipiu
"VATRA DORNEI",primaria@vatra-dornei.ro,SUCEAVA,,Primarie Municipiu
"BROSTENI",primaria_brosteni@yahoo.com,SUCEAVA,,Primarie Oras
"CAJVANA",primaria_cajvana@yahoo.com,SUCEAVA,,Primarie Oras
"DOLHASCA",primariadolhasca@yahoo.com,SUCEAVA,,Primarie Oras
"FRASIN",primaria_frasin@yahoo.com,SUCEAVA,,Primarie Oras
"GURA HUMORULUI",primariagh@gmail.com,SUCEAVA,,Primarie Oras
"LITENI",litenisv@rdslink.ro,SUCEAVA,,Primarie Oras
"MILISAUTI",primaria.milisauti@gmail.com,SUCEAVA,,Primarie Oras
"SALCEA",registratura@primariasalcea.ro,SUCEAVA,,Primarie Oras
"SIRET",informatii@siretromania.ro,SUCEAVA,,Primarie Oras
"SOLCA",primarie@solca.ro,SUCEAVA,,Primarie Oras
"VICOVU DE SUS",primariavicovudesus@yahoo.com,SUCEAVA,,Primarie Oras
"ROSIORI DE VEDE",postmaster@primariarosioriidevede.ro,TELEORMAN,,Primarie Municipiu
"TURNU MAGURELE",primariatm@yahoo.com,TELEORMAN,,Primarie Municipiu
"VIDELE",primariavidele@yahoo.com,TELEORMAN,,Primarie Oras
"TIMISOARA",primariatm@primariatm.ro,TIMIS,,Primarie Municipiu
"LUGOJ",contact@primarialugoj.ro,TIMIS,,Primarie Municipiu
"BUZIAS",primbuzias@yahoo.com,TIMIS,,Primarie Oras
"CIACOVA",primariaciacova@primariaiacova.ro,TIMIS,,Primarie Oras
"DETA",primaria_deta@net69.ro,TIMIS,,Primarie Oras
"FAGET",plfaget@online.ro,TIMIS,,Primarie Oras
"GATAIA",primaria_gataia@yahoo.com,TIMIS,,Primarie Oras
"JIMBOLIA",secretar@jimbolia.ro,TIMIS,,Primarie Oras
"RECAS",public@primariarecas.ro,TIMIS,,Primarie Oras
"SANNICOLAU MARE",primaria@sannicolau-mare.ro,TIMIS,,Primarie Oras
"TULCEA",primtl@tim.ro;eventhi@yahoo.com,TULCEA,,Primarie Municipiu
"BABADAG",contact@primaria-babadag.ro,TULCEA,,Primarie Oras
"ISACCEA",secretar@isaccea.ro,TULCEA,,Primarie Oras
"MACIN",primaria_macin@yahoo.com,TULCEA,,Primarie Oras
"SULINA",sulina_prim@yahoo.com,TULCEA,,Primarie Oras
"RAMNICU VALCEA",primaria@primariavl.ro,VALCEA,,Primarie Municipiu
"DRAGASANI",primariadragasani@yahoo.com,VALCEA,,Primarie Municipiu
"BABENI",primaria_babeni@yahoo.com,VALCEA,,Primarie Oras
"BAILE GOVORA",primaria@primaria-baile-govora.ro,VALCEA,,Primarie Oras
"BAILE OLANESTI",primariaolanesti@artelecom.net,VALCEA,,Primarie Oras
"BALCESTI",balcestivalcea@yahoo.com,VALCEA,,Primarie Oras
"BERBESTI",primaria_berbestivl2006@yahoo.com,VALCEA,,Primarie Oras
"BREZOI",primaria_oras_brezoi@yahoo.com,VALCEA,,Primarie Oras
"CALIMANESTI",primaria_calimanesti@yahoo.com,VALCEA,,Primarie Oras
"HOREZU",primaria@orasul-horezu.ro,VALCEA,,Primarie Oras
"OCNELE MARI",oc_mari@onix.ro,VALCEA,,Primarie Oras
"VASLUI",pmv@primariavaslui.ro,VASLUI,,Primarie Municipiu
"BARLAD",informatica@primariabarlad.ro,VASLUI,,Primarie Municipiu
"HUSI",primar@primariahusi.ro,VASLUI,,Primarie Municipiu
"MURGENI",secretarmurgeni@yahoo.com,VASLUI,,Primarie Oras
"NEGRESTI",consiliullocalnegresti@gmail.com,VASLUI,,Primarie Oras
"ADJUD",primariaadjud@gmail.com,VRANCEA,,Primarie Municipiu
"PANCIU",primaria.panciu@vrancea.info,VRANCEA,,Primarie Oras
"Alba",prefectura@prefecturaalba.ro,Alba,,Prefectura
"Arad",pja@prefecturaarad.ro,Arad,,Prefectura
"Argeș",relatii.publice@prefecturaarges.ro,Argeș,,Prefectura
"Bacău",secretariat@prefecturabacau.ro,Bacău,,Prefectura
"Bihor",registratura@prefecturabihor.ro,Bihor,,Prefectura
"Bistrita Năsăud",inform_publice@prefecturabn.ro,Bistrita Năsăud,,Prefectura
"Botoșani",email@prefecturabotosani.ro,Botoșani,,Prefectura
"Brăila",informatiipublice@prefecturabraila.ro,Brăila,,Prefectura
"Brașov",cabinet.prefect@prefecturabrasov.ro,Brașov,,Prefectura
"București",cancelarie.prefect.ipb@mai.gov.ro,București,,Prefectura
"Buzău",prefect@prefecturabuzau.ro,Buzău,,Prefectura
"Călărași",prefectura@prefecturacalarasi.ro,Călărași,,Prefectura
"Caraș-Severin",prefect@prefcs.ro,Caraș-Severin,,Prefectura
"Cluj-Napoca",prefectura@prefecturacluj.ro,Cluj-Napoca,,Prefectura
"Constanța",cancelarie@prefecturaconstanta.ro,Constanța,,Prefectura
"Covasna",cabinetulprefectului@prefecturacv.ro,Covasna,,Prefectura
"Dolj",office@prefecturadolj.ro,Dolj,,Prefectura
"Galați",prefect@prefecturagalati.ro,Galați,,Prefectura
"Giurgiu",secretariat1@prefecturagiurgiu.ro,Giurgiu,,Prefectura
"Gorj",prefect@prefecturagorj.ro,Gorj,,Prefectura
"Harghita",office@prefecturahr.ro,Harghita,,Prefectura
"Hunedoara",cancelarie@prefecturahunedoara.ro,Hunedoara,,Prefectura
"Ialomița",cancelarie@prefecturaialomita.ro;,Ialomița,,Prefectura
"Iași",contact@prefecturaiasi.ro,Iași,,Prefectura
"Ilfov",cancelarie@prefecturailfov.ro,Ilfov,,Prefectura
"Maramureș",prefect@prefecturamaramureş.ro,Maramureș,,Prefectura
"Mehedinți",prefect@prefecturamehedinti.ro,Mehedinți,,Prefectura
"Mureș",prefect@prefecturamures.ro,Mureș,,Prefectura
"Neamț",office@prefecturaneamt.ro,Neamț,,Prefectura
"Olt",prefectura@prefecturaolt.ro,Olt,,Prefectura
"Prahova",prahova.gov@rdsmail.ro,Prahova,,Prefectura
"Salaj",psj@prefecturasalaj.ro,Salaj,,Prefectura
"Satu Mare",contact@prefecturasatumare.ro,Satu Mare,,Prefectura
"Sibiu",institutiaprefectului@prefecturasibiu.ro,Sibiu,,Prefectura
"Suceava",prefsv@prefecturasuceava.ro,Suceava,,Prefectura
"Teleorman",office@prefectura-teleorman.ro,Teleorman,,Prefectura
"Timiș",contact@prefecturatimis.ro,Timiș,,Prefectura
"Tulcea",directorcabinet@prefecturatulcea.ro,Tulcea,,Prefectura
"Vâlcea",prefect@prefecturavalcea.ro,Vâlcea,,Prefectura
"Vaslui",prefectura@prefecturavaslui.ro,Vaslui,,Prefectura
"Vrancea",prefectura@prefecturavrancea.ro,Vrancea,,Prefectura
"Alba",cjalba@cjalba.ro,Alba,,Consiliu Judetean
"Arad",consiliul@cjarad.ro,Arad,,Consiliu Judetean
"Argeș",ionelvoica@yahoo.com,Argeș,,Consiliu Judetean
"Bacău",presedinte@csjbacau.ro,Bacău,,Consiliu Judetean
"Bihor",registratura@cjbihor.ro,Bihor,,Consiliu Judetean
"Bistrita Năsăud",cjbn@cjbn.ro,Bistrita Năsăud,,Consiliu Judetean
"Botoșani",consiliu@cjbotosani.ro,Botoșani,,Consiliu Judetean
"Brăila",consiliu@cjbraila.ro,Brăila,,Consiliu Judetean
"Brașov",relatii.publice.cj@judbrasov.ro,Brașov,,Consiliu Judetean
"Buzău",cjbuzau@cjbuzau.ro,Buzău,,Consiliu Judetean
"Călărași",cjcalarasi@calarasi.ro,Călărași,,Consiliu Judetean
"Caraș-Severin",cjcs@cjcs.ro,Caraș-Severin,,Consiliu Judetean
"Cluj-Napoca",cjc@cjcluj.ro,Cluj-Napoca,,Consiliu Judetean
"Constanța",consjud@cjc.ro,Constanța,,Consiliu Judetean
"Covasna",office@kvmt.ro,Covasna,,Consiliu Judetean
"Dâmbovița",consjdb@cjd.ro,Dâmbovița,,Consiliu Judetean
"Dolj",contact@cjdolj.ro,Dolj,,Consiliu Judetean
"Galați",conducere@cjgalati.ro,Galați,,Consiliu Judetean
"Giurgiu",cjg@cjgiurgiu.ro,Giurgiu,,Consiliu Judetean
