Nume,Email,Judet,Telefon,Tip
"Hunedoara",cancelarie@prefecturahunedoara.ro,Hunedoara,,Prefectura
"Mehedinți",prefect@prefecturamehedinti.ro,Mehedinți,,Prefectura
"Galați",prefect@prefecturagalati.ro,Galați,,Prefectura
"Bihor",registratura@prefecturabihor.ro,Bihor,,Prefectura
"Constanța",cancelarie@prefecturaconstanta.ro,Constanța,,Prefectura
"Vâlcea",prefect@prefecturavalcea.ro,Vâlcea,,Prefectura
"Teleorman",office@prefectura-teleorman.ro,Teleorman,,Prefectura
"Arad",pja@prefecturaarad.ro,Arad,,Prefectura
"Suceava",prefsv@prefecturasuceava.ro,Suceava,,Prefectura
"Neamț",office@prefecturaneamt.ro,Neamț,,Prefectura
"Călărași",prefectura@prefecturacalarasi.ro,Călărași,,Prefectura
"Brăila",informatiipublice@prefecturabraila.ro,Brăila,,Prefectura
"Dolj",office@prefecturadolj.ro,Dolj,,Prefectura
"Satu Mare",contact@prefecturasatumare.ro,Satu Mare,,Prefectura
"Prahova",prahova.gov@rdsmail.ro,Prahova,,Prefectura
"Botoșani",email@prefecturabotosani.ro,Botoșani,,Prefectura
"Mureș",prefect@prefecturamures.ro,Mureș,,Prefectura
"Olt",prefectura@prefecturaolt.ro,Olt,,Prefectura
"Alba",prefectura@prefecturaalba.ro,Alba,,Prefectura
"Ilfov",cancelarie@prefecturailfov.ro,Ilfov,,Prefectura
"Giurgiu",secretariat1@prefecturagiurgiu.ro,Giurgiu,,Prefectura
"Vaslui",prefectura@prefecturavaslui.ro,Vaslui,,Prefectura
"Brașov",cabinet.prefect@prefecturabrasov.ro,Brașov,,Prefectura
"Sibiu",institutiaprefectului@prefecturasibiu.ro,Sibiu,,Prefectura
"Ialomița",cancelarie@prefecturaialomita.ro;,Ialomița,,Prefectura
"Vrancea",prefectura@prefecturavrancea.ro,,,Prefectura
"Caraș-Severin",prefect@prefcs.ro,Caraș-Severin,,Prefectura
"Dâmbovița",secretariat.ipdb@mai.gov.ro,,Dâmbovița,,Prefectura
"Argeș",relatii.publice@prefecturaarges.ro,Argeș,,Prefectura
"Cluj-Napoca",prefectura@prefecturacluj.ro,Cluj-Napoca,,Prefectura
