1|Nume,Email,Judet,Telefon,Tip
    45|"Primaria Arad",primaria@primariaarad.ro,Arad,,Primarie
    46|"Primaria Bacau",contactprimarie@primariabacau.ro,Bacau,,Primarie
    47|"Primaria Baia Mare",primar@baiamare.ro,Maramures,,Primarie
    48|"Primaria Bistrita",bruo@primariabistrita.ro,Bistrita-Nasaud,,Primarie
    49|"Primaria Botosani",primaria@primariabt.ro,Botosani,,Primarie
    50|"Primaria Braila",primaria@primariabraila.ro,Braila,,Primarie
    51|"Primaria Brasov",contact@brasovcity.ro,Brasov,,Primarie
    52|"Primaria Buzau",informatica@primariabuzau.ro,Buzau,,Primarie
    54|"Primaria Cluj-Napoca",registratura@primariaclujnapoca.ro,Cluj,,Primarie
    55|"Primaria Constanta",primarie@primaria-constanta.ro,Constanta,,Primarie
    56|"Primaria Craiova",relatiicupublicul@primariacraiova.ro,Dolj,,Primarie
    57|"Primaria Deva",primar@primariadeva.ro,Hunedoara,,Primarie
    58|"Primaria Drobeta Turnu Severin",primaria@primariadrobeta.ro,Mehedinti,,Primarie
    59|"Primaria Focsani",primarie@focsani.info,Vrancea,,Primarie
    60|"Primaria Galati",primaria@primariagalati.ro,Galati,,Primarie
    61|"Primaria Giurgiu",primaria@primariagiurgiu.ro,Giurgiu,,Primarie
    62|"Primaria Iasi",informatii@primaria-iasi.ro,Iasi,,Primarie
    63|"Primaria Miercurea Ciuc",varoshaza@szereda.ro,Harghita,,Primarie
    64|"Primaria Oradea",primarie@oradea.ro,Bihor,,Primarie
    65|"Primaria Piatra Neamt",infopn@primariapn.ro,Neamt,,Primarie
    66|"Primaria Pitesti",primaria@primariapitesti.ro,Arges,,Primarie
    67|"Primaria Ploiesti",comunicare@ploiesti.ro,Prahova,,Primarie
    68|"Primaria Ramnicu Valcea",primaria@primariavl.ro,Valcea,,Primarie
    69|"Primaria Resita",centru@primariaresita.ro,Caras-Severin,,Primarie
    70|"Primaria Satu Mare",primaria@primariasm.ro,Satu Mare,,Primarie
    72|"Primaria Sibiu",primarie@sibiu.ro,Sibiu,,Primarie
    73|"Primaria Slatina",primaria@primariaslatina.ro,Olt,,Primarie
    75|"Primaria Suceava",primsv@primariasv.ro,Suceava,,Primarie
    76|"Primaria Targoviste",primarulmunicipiuluitargoviste@pmtgv.ro,Dambovita,,Primarie
    77|"Primaria Targu Jiu",primaria@targujiu.ro,Gorj,,Primarie
    78|"Primaria Targu Mures",primaria@tirgumures.ro,Mures,,Primarie
    79|"Primaria Timisoara",primaria@primariatm.ro,Timis,,Primarie
    80|"Primaria Tulcea",copieci@primariatulcea.ro,Tulcea,,Primarie
    81|"Primaria Vaslui",primaria@primariavaslui.ro,Vaslui,,Primarie
    82|"Primaria Zalau",primaria@zalausj.ro,Salaj,,Primarie
    83|"Primaria Sector 1",registratura@primarias1.ro,Bucuresti,,Primarie
    84|"Primaria Sector 2",infopublice@ps2.ro,Bucuresti,,Primarie
    85|"Primaria Sector 3",contact@primarie3.ro,Bucuresti,,Primarie
    86|"Primaria Sector 4",contact@ps4.ro,Bucuresti,,Primarie
    87|"Primaria Sector 5",primarie@sector5.ro,Bucuresti,,Primarie
    88|"Primaria Sector 6",contact@primarie6.ro,Bucuresti,,Primarie
    89|"Ministerul Mediului",registratura@mmediu.ro,Bucuresti,,Minister
    90|"Ministerul Educatiei",registratura@edu.gov.ro,Bucuresti,,Minister
    91|"Ministerul Sanatatii",relatii.publice@ms.ro,Bucuresti,,Minister
    92|"Ministerul Dezvoltarii",comunicare@mdlpa.ro,Bucuresti,,Minister
    93|"Ministerul Agriculturii",registratura@madr.ro,Bucuresti,,Minister
    94|"Ministerul Muncii",relatiipublice@mmuncii.ro,Bucuresti,,Minister
    95|"Ministerul Finantelor",relatiipublice@mfinante.gov.ro,Bucuresti,,Minister
    96|"Ministerul Transporturilor",relatiipublice@mt.ro,Bucuresti,,Minister
    97|"Ministerul Culturii",registratura@cultura.ro,Bucuresti,,Minister
    99|"ANCPI",office@ancpi.ro,Bucuresti,,Agentie
   100|"APIA",cabinet@apia.org.ro,Bucuresti,,Agentie
   101|"AFIR",registratura@afir.info,Bucuresti,,Agentie
   102|"ANM",relatii@meteoromania.ro,Bucuresti,,Agentie
   103|"ANCOM",registratura@ancom.ro,Bucuresti,,Agentie
   104|"ANRE",anre@anre.ro,Bucuresti,,Agentie
   106|"Agentia pentru Digitalizarea Romaniei",secretariat@adr.gov.ro,Bucuresti,,Agentie
   107|"DSP Alba",secretariat@dspalba.ro,Alba,,DSP
   108|"DSP Arad",secretariat@dsparad.ro,Arad,,DSP
   109|"DSP Arges",secretariat@dsparges.ro,Arges,,DSP
   111|"DSP Bihor",secretariat@dspbihor.ro,Bihor,,DSP
   113|"DSP Botosani",secretariat@dspbotosani.ro,Botosani,,DSP
   115|"DSP Brasov",secretariat@dspbrasov.ro,Brasov,,DSP
   116|"DSP Buzau",secretariat@dspbuzau.ro,Buzau,,DSP
   117|"DSP Calarasi",secretariat@dspcalarasi.ro,Calarasi,,DSP
   119|"DSP Cluj",secretariat@dspcluj.ro,Cluj,,DSP
   121|"DSP Covasna",secretariat@dspcovasna.ro,Covasna,,DSP
   122|"DSP Dambovita",secretariat@dspdambovita.ro,Dambovita,,DSP
   123|"DSP Dolj",secretariat@dspdolj.ro,Dolj,,DSP
   125|"DSP Giurgiu",secretariat@dspgiurgiu.ro,Giurgiu,,DSP
   126|"DSP Gorj",secretariat@dspgorj.ro,Gorj,,DSP
   127|"DSP Harghita",secretariat@dspharghita.ro,Harghita,,DSP
   129|"DSP Ialomita",secretariat@dspialomita.ro,Ialomita,,DSP
   130|"DSP Iasi",secretariat@dspiasi.ro,Iasi,,DSP
   131|"DSP Ilfov",secretariat@dspilfov.ro,Ilfov,,DSP
   136|"DSP Olt",secretariat@dspolt.ro,Olt,,DSP
   140|"DSP Sibiu",secretariat@dspsibiu.ro,Sibiu,,DSP
   143|"DSP Timis",secretariat@dsptimis.ro,Timis,,DSP
   145|"DSP Valcea",secretariat@dspvalcea.ro,Valcea,,DSP
   149|"DAJ Arad",office@dadrarad.ro,Arad,,Directie Agricola
   150|"DAJ Arges",office@dadrarges.ro,Arges,,Directie Agricola
   151|"DAJ Bacau",office@dadrbacau.ro,Bacau,,Directie Agricola
   157|"DAJ Buzau",office@dadrbuzau.ro,Buzau,,Directie Agricola
   163|"DAJ Dambovita",office@dadrdambovita.ro,Dambovita,,Directie Agricola
   167|"DAJ Gorj",office@dadrgorj.ro,Gorj,,Directie Agricola
   173|"DAJ Maramures",office@dadrmaramures.ro,Maramures,,Directie Agricola
   181|"DAJ Sibiu",office@dadrsibiu.ro,Sibiu,,Directie Agricola
   185|"DAJ Tulcea",office@dadrtulcea.ro,Tulcea,,Directie Agricola
   186|"DAJ Valcea",office@dadrvalcea.ro,Valcea,,Directie Agricola
"GAL Delta Dunării",office@galdeltadunarii.ro,Tulcea,,GAL
"GAL Colinele Tutovei",contact@galcolineletutovei.ro,Iași,,GAL
"GAL Bihor",office@galbihor.ro,Bihor,,GAL
"GAL Satu Mare",contact@galsatumare.ro,Satu Mare,,GAL
"GAL Botoșani",office@galbotosani.ro,Botoșani,,GAL
